played_at,track_id,track_name,artist_names,album_name,duration_ms,explicit,popularity
2025-12-01T22:06:26.175Z,4fZj0uoOsTwAgSyHLL9xbV,0640,Kidd Keo,Old Times in Gotham,112725,True,35
2025-12-01T22:04:33.184Z,79X7BhWIBGSjChXPjkJcvQ,HOPE (with Kidd Keo),"TALE$, Kidd Keo",HOPE (with Kidd Keo),159076,False,54
2025-12-01T22:01:53.363Z,2wIoxC17DLeB3zinoQykmX,Stress,Kidd Keo,Stress,187951,True,38
2025-12-01T21:58:40.674Z,4jaNOoKNuh8UejoZQRm0OZ,Triple Six,Hoke,TRES CREUS,126956,True,51
2025-12-01T21:14:06.248Z,1gcTe8hDGX9FNLUHAP4XQG,Nos Creíamos Kies,"Hoke, Morad",TRES CREUS,212389,True,49
2025-12-01T21:09:59.024Z,6hoL4fXgmGwSsCRRbk77Cn,Masa Madre,Hoke,TRES CREUS,126315,True,51
2025-12-01T21:07:57.684Z,30QvxRsCWIuH6MhAcpxDc6,Infrarrojo / Ultravioleta,Hoke,TRES CREUS,143505,True,56
2025-12-01T21:05:28.650Z,2ShEngDMH3Y4ZQCnUNxz6F,Aimbot,Hoke,TRES CREUS,103225,True,50
2025-12-01T21:04:04.715Z,2KQSt2Z1pMvKb2Y6CLqJIt,Empezamos,ToteKing,Un Tipo Cualquiera,185689,False,27
2025-12-01T21:00:06.753Z,5S3Y12ouNYbYLHbHJ5PnB8,Escuela,"Hard GZ, Lil GZ, ToteKing",Versus,209536,True,33
2025-12-01T20:50:26.220Z,2dq2yb8Vgu2c1MalQbtxQr,96ERS,"Hoke, Atari Hanzo",96ERS,137142,False,48
2025-12-01T20:48:05.715Z,2dxrkzl2Ln0LXOV1mgsPTn,Souvenir,"Ill Pekeño, Ergo Pro",San Cucufato,216263,False,33
2025-12-01T20:44:28.975Z,7v90MSixfHdG1HSdEqvDSx,Social Drive,"Ergo Pro, Ill Pekeño, ToteKing, Tensei One",Social Drive,271648,True,32
