rank,artist_id,artist_name,genres,popularity,followers
1,224rbIjYbXaTI7lnP2ZMNJ,ToteKing,,50,277601
2,2R21vXR83lH98kGeO99Y66,Anuel AA,"reggaeton, trap latino, urbano latino, latin",88,45275600
3,2x6kZekpNZMll7Uq3M6ar5,Hoke,,57,103200
4,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",97,103922297
5,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,"trap latino, urbano latino, trap",80,9240941
6,1DH9RJ0xBVje6gQmK3LWUY,Violadores Del Verso,"hardcore hip hop, latin hip hop",53,599980
7,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,,68,518417
8,0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,"trap, argentine trap",68,3004451
9,79N4S7UXdjo2fAh3OHJQuB,Hard GZ,,62,367032
10,4oNsvVnFz4HQ0UPpPFSuJX,EAZYBOI,,51,67799
11,3T4KspU3H8Ya6sgxexg9F8,Ill Pekeño,gregorian chant,51,58294
12,7iK8PXO48WeuP03g8YR51W,Myke Towers,"reggaeton, trap latino, urbano latino",86,22271108
13,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin",90,31493848
14,52iwsT98xCoGgiGntTiR7K,Quevedo,,83,6504386
15,1bAftSH8umNcGZ0uyV7LMg,Duki,"argentine trap, trap, trap latino",81,13414318
16,6HdO9DuwHJ5nCZIzBW7HVv,Duo Kie,,35,79100
17,1QJbbsxg2wqidJj51d3otw,Natos y Waor,,65,883806
18,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,,73,3106609
19,1mvAv5jk1OSd3Tyv4aZEjK,Sho-Hai,hardcore hip hop,48,130311
20,2IMZYfNi21MGqxopj9fWx8,Rels B,"urbano latino, trap latino",83,10075358
21,3bgsNtcf5d5h9jbQbohfBK,Extremoduro,,66,1613997
22,6ClUcM4dNXay3rFb4hSMbg,Día Sexto,,34,35897
23,7hqwOMu222wUGHIzm49sJk,Jarfaiter,,51,132788
24,6nVcHLIgY5pE2YCl8ubca1,JHAYCO,"reggaeton, trap latino, urbano latino",81,9520002
25,56n1NeXsTOOxjX3Z4lVMTJ,SFDK,,61,746207
26,5dC7EcwWdf9Qj4VvJab4rZ,FERNANDOCOSTA,,64,430243
27,716NhGYqD1jl2wI1Qkgq36,Bizarrap,"argentine trap, trap latino, urbano latino",81,18317963
28,2X11x8C63wCzAf1WwsIuLg,Kaze,,56,271329
29,7GmXwGXJSsmWTkCyk5Twux,Kase.O,latin hip hop,59,784933
30,0Q8NcsJwoCbZOHHW63su5S,Mora,"urbano latino, trap latino, reggaeton",83,8266686
31,6RGXMZ5gUtYKHpG3RQ9fM4,Ergo Pro,gregorian chant,52,55589
32,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,"reggaeton, latin",88,39310753
33,5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,,64,1166803
34,6zJkLYY6jdwLbRCo3Acc3C,R De Rumba,,43,102350
35,1rTUwYS38LkQTlT2fhikch,Yung Beef,neoperreo,74,668486
36,2LRoIwlKmHjgvigdNGBHNo,Feid,"reggaeton, urbano latino",87,19114209
37,3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,,65,1022029
38,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,latin,89,8996222
39,6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,"trap latino, reggaeton, trap, urbano latino",82,13808267
40,6uFTGm4t8Z6tXyCm22sLQM,Fyahbwoy,"spanish-language reggae, reggae, dancehall",53,141044
41,5Uox3n7m4W2CoM9MmHPJwQ,Delaossa,,66,373926
42,16M8fuShcwX8uBDdmFZH9B,Israel B,,54,86767
43,4nXXIxTneJksvGXrlmX8oA,Kaydy Cain,neoperreo,60,543637
44,5aVRp7t7EHegH2dV6CZRkt,XBawel,,24,3766
45,2mlYbJoXGsFfm1gqAk8Xwl,Lírico,,30,31864
46,33AxM64O965URn5WUtqNST,Rico Rosa,,49,14102
47,4SsVbpTthjScTS7U2hmr1X,Arcángel,"reggaeton, trap latino, urbano latino",85,18001256
48,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,latin pop,67,2931278
49,0GM7qgcRCORpGnfcN2tCiB,Tainy,reggaeton,79,3509583
50,5M9Bb4adKAgrOFOhc05Y50,Pablo Alborán,latin pop,75,5570578
