rank,artist_id,artist_name,genres,popularity,followers
1,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,,68,518417
2,4oNsvVnFz4HQ0UPpPFSuJX,EAZYBOI,,51,67799
3,224rbIjYbXaTI7lnP2ZMNJ,ToteKing,,50,277601
4,2x6kZekpNZMll7Uq3M6ar5,Hoke,,57,103200
5,3T4KspU3H8Ya6sgxexg9F8,Ill Pekeño,gregorian chant,51,58294
6,1DH9RJ0xBVje6gQmK3LWUY,Violadores Del Verso,"hardcore hip hop, latin hip hop",53,599980
7,0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,"trap, argentine trap",68,3004451
8,6ClUcM4dNXay3rFb4hSMbg,Día Sexto,,34,35897
9,1QJbbsxg2wqidJj51d3otw,Natos y Waor,,65,883806
10,1mvAv5jk1OSd3Tyv4aZEjK,Sho-Hai,hardcore hip hop,48,130311
11,6HdO9DuwHJ5nCZIzBW7HVv,Duo Kie,,35,79100
12,7GmXwGXJSsmWTkCyk5Twux,Kase.O,latin hip hop,59,784933
13,6RGXMZ5gUtYKHpG3RQ9fM4,Ergo Pro,gregorian chant,52,55589
14,79N4S7UXdjo2fAh3OHJQuB,Hard GZ,,62,367032
15,7hqwOMu222wUGHIzm49sJk,Jarfaiter,,51,132788
16,3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,,65,1022029
17,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,,73,3106609
18,1rTUwYS38LkQTlT2fhikch,Yung Beef,neoperreo,74,668486
19,3YOAvFLpb07LwB2BVefQlW,Violadores Del Verso,,32,533
20,56n1NeXsTOOxjX3Z4lVMTJ,SFDK,,61,746207
21,5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,,64,1166803
22,16M8fuShcwX8uBDdmFZH9B,Israel B,,54,86767
23,33AxM64O965URn5WUtqNST,Rico Rosa,,49,14102
24,3bgsNtcf5d5h9jbQbohfBK,Extremoduro,,66,1613997
25,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton, trap latino, latin, urbano latino",97,103922297
26,7eH1UUCyxL8Wf9PztvvPJ6,Arce,,57,389928
27,2mlYbJoXGsFfm1gqAk8Xwl,Lírico,,30,31864
28,3K9mA5caqvridbPbKHwMFl,natos,,14,14033
29,2IMZYfNi21MGqxopj9fWx8,Rels B,"urbano latino, trap latino",83,10075358
30,5JcO3FHEBbWTQMUHmWtU2g,Juancho Marqués,,48,154804
31,3i9eOUfw6q0d4MTxIXASZW,Saske,,55,39432
32,3hWEl2WyfFoVtZeh4GLRwj,PXXR GVNG,,44,164908
33,2R21vXR83lH98kGeO99Y66,Anuel AA,"reggaeton, trap latino, urbano latino, latin",88,45275600
34,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,"trap latino, urbano latino, trap",80,9240941
35,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,latin,89,8996222
36,6zJkLYY6jdwLbRCo3Acc3C,R De Rumba,,43,102350
37,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"dark r&b, r&b, trap soul",84,10305863
38,2X11x8C63wCzAf1WwsIuLg,Kaze,,56,271329
39,4bWHA8fMNjzfGPQqnh5D6y,Recycled J,,62,251719
40,3lIsPQW0jN6sMpiWuiShF0,Dano,"argentine trap, latin hip hop",50,87472
41,79ff28apoBUFLfPJQoTfro,Nico Miseria,,47,36696
42,4YbohdhSehUUc7RT3STcKW,Midas Alonso,,49,48525
43,5Uox3n7m4W2CoM9MmHPJwQ,Delaossa,,66,373926
44,7s6ca8qq2BOyKb5FRkKupP,Agorazein,,43,81396
45,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,latin pop,67,2931278
46,4XV4e5IqR6DKCJMJWuG7Vi,Nadal015,,49,88396
47,1MXug5KOetEEQjjvCPWwIm,Gloosito,,56,100242
48,1m9WPOccw8sizsVYUhSVjZ,Selecta,,50,32095
49,3LUqbCeGFevo9zm5MNKNgP,La$$ Suga',,30,6638
50,6uFTGm4t8Z6tXyCm22sLQM,Fyahbwoy,"spanish-language reggae, reggae, dancehall",53,141044
