rank,artist_id,artist_name,genres,popularity,followers
1,0jeYkqwckGJoHQhhXwgzk3,Cruz Cafuné,,68,518417
2,4oNsvVnFz4HQ0UPpPFSuJX,EAZYBOI,,51,67799
3,2x6kZekpNZMll7Uq3M6ar5,Hoke,,57,103200
4,0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,"trap, argentine trap",68,3004451
5,6ClUcM4dNXay3rFb4hSMbg,Día Sexto,,34,35897
6,3T4KspU3H8Ya6sgxexg9F8,Ill Pekeño,gregorian chant,51,58294
7,7hqwOMu222wUGHIzm49sJk,Jarfaiter,,51,132788
8,224rbIjYbXaTI7lnP2ZMNJ,ToteKing,,50,277601
9,1QJbbsxg2wqidJj51d3otw,Natos y Waor,,65,883806
10,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,latin,89,8996222
11,1rTUwYS38LkQTlT2fhikch,Yung Beef,neoperreo,74,668486
12,6RGXMZ5gUtYKHpG3RQ9fM4,Ergo Pro,gregorian chant,52,55589
13,3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,,65,1022029
14,79N4S7UXdjo2fAh3OHJQuB,Hard GZ,,62,367032
15,2IMZYfNi21MGqxopj9fWx8,Rels B,"urbano latino, trap latino",83,10075358
16,5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,,64,1166803
17,1m9WPOccw8sizsVYUhSVjZ,Selecta,,50,32095
18,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,,73,3106609
19,16M8fuShcwX8uBDdmFZH9B,Israel B,,54,86767
20,1DH9RJ0xBVje6gQmK3LWUY,Violadores Del Verso,"hardcore hip hop, latin hip hop",53,599980
