rank,track_id,track_name,artist_names,album_name,duration_ms,explicit,popularity
1,0VhfZo2uwcWnQGExuOxNKq,Ojo de Halcón,"Hoke, Louis Amoeba",BBO,110943,False,51
2,2ShEngDMH3Y4ZQCnUNxz6F,Aimbot,Hoke,TRES CREUS,103225,True,50
3,4x4zGJYBa39QEkc1KTgqtc,ABC,"Hoke, Quevedo",TRES CREUS,181739,True,55
4,2LTg447RMDqOyWlu94wwZ4,Dálmatas,Hoke,TRES CREUS,131134,True,49
5,6mQGOlMMCOMww9wMglS9FB,TT,"Hoke, Louis Amoeba",BBO,121212,False,49
6,3s4Wm1hopOmLWiBt39i1Al,Five O,"Hoke, Louis Amoeba",BBO,140399,False,47
7,4jaNOoKNuh8UejoZQRm0OZ,Triple Six,Hoke,TRES CREUS,126956,True,51
8,30QvxRsCWIuH6MhAcpxDc6,Infrarrojo / Ultravioleta,Hoke,TRES CREUS,143505,True,56
9,4tNGl7OIYRcky03Mn3E7bj,Chorbo Real,"Hoke, Louis Amoeba, Ébano",BBO,182499,False,45
10,1fyCvJYDqc6ieWbvf0k1Vy,Jjjj,"Hoke, Louis Amoeba, Cruz Cafuné",BBO,207313,False,53
11,7cGa3beFdDoIzys3xMDV1G,Olympique,"Hoke, Louis Amoeba, Ébano",BBO,152238,False,53
12,6hoL4fXgmGwSsCRRbk77Cn,Masa Madre,Hoke,TRES CREUS,126315,True,51
13,5nVcYqS5FhyZlOMMPwfLNl,Medallones,"Hoke, Louis Amoeba",BBO,150329,False,50
14,51kzHiwV2gqYOakB0HGh8d,Desamparados,"Hoke, Louis Amoeba, Ergo Pro, Ill Pekeño",BBO,197333,False,50
15,0eKQ6AY2DFHDCo8ZEuAskK,Telekinesis,Hoke,TRES CREUS,67656,True,44
16,20s0UsRjtPkztALN9oA4Yw,M.A.N.,"Hoke, Ébano, Ergo Pro",TRES CREUS,193714,True,49
17,3w0tO3yKK0pAmcL2SWTuY4,La vida padre,ToteKing,Luces fuera,147169,True,22
18,7ATdQXyiiOhnIfuj3RtQiC,Automático,"Hoke, Louis Amoeba",BBO,154666,False,45
19,6YzSVEItKYue0f3ZEJyyQL,Speedrun Skit,"Hoke, Louis Amoeba",BBO,66661,False,39
20,5eY6u8ztWSB1URBBnfJIy7,INTRO ASCARI,"EAZYBOI, Bigla The Kid",ASCARI,113150,False,27
21,2p8spJmAlpHpeTMNLbHjpH,Chevy Red,"ToteKing, Hoke",Luces fuera,146562,True,36
22,2SBibBAZ4DieXfOTQKdvC9,Dumb,"ToteKing, BEJO",Luces fuera,201572,True,27
23,7zvtsYCloXHLs62FhWHNnG,Ruinas Romanas,"ToteKing, Midas Alonso",Luces fuera,208284,True,33
24,1gcTe8hDGX9FNLUHAP4XQG,Nos Creíamos Kies,"Hoke, Morad",TRES CREUS,212389,True,49
25,2wkM6ksIQmiIht3P9cwwV1,ALL NIGHT,"EAZYBOI, Bigla The Kid",ASCARI,177709,False,31
26,1tGP1ERYGu8mOsjEPCwwt4,Papi Tote,"ToteKing, 808 Blanco, N.Rizo",Luces fuera,209136,True,21
27,6Go5Eip9FgjckpS4ZkMZFP,PRYCA,"ToteKing, Ill Pekeño",Luces fuera,210344,True,29
28,3Y7D0PYm4F50C3LaBqZAr7,Santo,"Hoke, Louis Amoeba",BBO,92955,False,43
29,1Y3ihd2dQoZXoJaGBBcHob,Mira a ver,"ToteKing, EAZYBOI",Luces fuera,205802,True,29
30,5SVtfNWLscTz1r31gGZPJx,Woh! (Part 2) / El Serranito (feat. Príncipe Palanca),"ToteKing, Príncipe Palanca",Lebron,293912,False,26
31,451N6WeW201uEwkdHJ5sDz,DRUGS,ToteKing,Luces fuera,181423,True,20
32,51sjjUw21urcdtgD9HzJK6,ABAMA Jr. Suite,"Cruz Cafuné, LEÏTI",Me Muevo Con Dios,165250,True,53
33,3YcLFrhKVs8EVJ5koKvAMe,Sobar Bien,"ToteKing, Ergo Pro, María Reina",Luces fuera,205490,True,20
34,5WC18d3vIhVe7jkgJRPDor,Tres Creus,Hoke,TRES CREUS,129032,True,49
